Sequence,URN,RV,Label
240,urn:cite:hmt:u4.120v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 120v"
361,urn:cite:hmt:u4.181r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 181r"
16,urn:cite:hmt:u4.8v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 8v"
290,urn:cite:hmt:u4.145v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 145v"
193,urn:cite:hmt:u4.97r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 97r"
174,urn:cite:hmt:u4.87v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 87v"
155,urn:cite:hmt:u4.78r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 78r"
72,urn:cite:hmt:u4.36v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 36v"
166,urn:cite:hmt:u4.83v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 83v"
212,urn:cite:hmt:u4.106v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 106v"
297,urn:cite:hmt:u4.149r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 149r"
101,urn:cite:hmt:u4.51r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 51r"
316,urn:cite:hmt:u4.158v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 158v"
351,urn:cite:hmt:u4.176r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 176r"
2,urn:cite:hmt:u4.1v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 1v"
369,urn:cite:hmt:u4.185r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 185r"
8,urn:cite:hmt:u4.4v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 4v"
83,urn:cite:hmt:u4.42r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 42r"
233,urn:cite:hmt:u4.117r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 117r"
276,urn:cite:hmt:u4.138v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 138v"
306,urn:cite:hmt:u4.153v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 153v"
336,urn:cite:hmt:u4.168v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 168v"
18,urn:cite:hmt:u4.9v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 9v"
280,urn:cite:hmt:u4.140v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 140v"
289,urn:cite:hmt:u4.145r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 145r"
292,urn:cite:hmt:u4.146v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 146v"
232,urn:cite:hmt:u4.116v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 116v"
130,urn:cite:hmt:u4.65v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 65v"
22,urn:cite:hmt:u4.11v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 11v"
36,urn:cite:hmt:u4.18v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 18v"
124,urn:cite:hmt:u4.62v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 62v"
117,urn:cite:hmt:u4.59r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 59r"
252,urn:cite:hmt:u4.126v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 126v"
192,urn:cite:hmt:u4.96v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 96v"
344,urn:cite:hmt:u4.172v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 172v"
249,urn:cite:hmt:u4.125r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 125r"
266,urn:cite:hmt:u4.133v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 133v"
334,urn:cite:hmt:u4.167v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 167v"
263,urn:cite:hmt:u4.132r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 132r"
86,urn:cite:hmt:u4.43v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 43v"
27,urn:cite:hmt:u4.14r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 14r"
329,urn:cite:hmt:u4.165r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 165r"
315,urn:cite:hmt:u4.158r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 158r"
236,urn:cite:hmt:u4.118v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 118v"
274,urn:cite:hmt:u4.137v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 137v"
238,urn:cite:hmt:u4.119v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 119v"
300,urn:cite:hmt:u4.150v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 150v"
273,urn:cite:hmt:u4.137r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 137r"
121,urn:cite:hmt:u4.61r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 61r"
229,urn:cite:hmt:u4.115r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 115r"
52,urn:cite:hmt:u4.26v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 26v"
39,urn:cite:hmt:u4.20r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 20r"
201,urn:cite:hmt:u4.101r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 101r"
216,urn:cite:hmt:u4.108v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 108v"
7,urn:cite:hmt:u4.4r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 4r"
366,urn:cite:hmt:u4.183v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 183v"
34,urn:cite:hmt:u4.17v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 17v"
43,urn:cite:hmt:u4.22r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 22r"
364,urn:cite:hmt:u4.182v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 182v"
357,urn:cite:hmt:u4.179r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 179r"
