Folio	Quire	SmoothHairy	urn:cite:hmt:msA.BifolioWith	ReplacementPage
urn:cite:hmt:msA.70v	8	hairy	urn:cite:hmt:msA.73r	yes
urn:cite:hmt:msA.71r	8	hairy	urn:cite:hmt:msA.72v	yes
urn:cite:hmt:msA.71v	8	smooth	urn:cite:hmt:msA.72r	yes
urn:cite:hmt:msA.72r	8	smooth	urn:cite:hmt:msA.71v	yes
urn:cite:hmt:msA.72v	8	hairy	urn:cite:hmt:msA.71r	yes
urn:cite:hmt:msA.73r	8	hairy	urn:cite:hmt:msA.70v	yes
urn:cite:hmt:msA.73v	8	smooth	urn:cite:hmt:msA.70r	yes
urn:cite:hmt:msA.74r	8	smooth	urn:cite:hmt:msA.69v	yes
urn:cite:hmt:msA.74v	8	hairy	urn:cite:hmt:msA.69r	yes
urn:cite:hmt:msA.75r	8	hairy	urn:cite:hmt:msA.68v	no
urn:cite:hmt:msA.75v	8	smooth	urn:cite:hmt:msA.68r	no
urn:cite:hmt:msA.76r	9	smooth	urn:cite:hmt:msA.83v	no
urn:cite:hmt:msA.76v	9	hairy	urn:cite:hmt:msA.83r	no
urn:cite:hmt:msA.77r	9	hairy	urn:cite:hmt:msA.82v	no
urn:cite:hmt:msA.77v	9	smooth	urn:cite:hmt:msA.82r	no
urn:cite:hmt:msA.78r	9	smooth	urn:cite:hmt:msA.81v	no
urn:cite:hmt:msA.78v	9	hairy	urn:cite:hmt:msA.81r	no
urn:cite:hmt:msA.79r	9	hairy	urn:cite:hmt:msA.80v	no
urn:cite:hmt:msA.79v	9	smooth	urn:cite:hmt:msA.80r	no
urn:cite:hmt:msA.80r	9	smooth	urn:cite:hmt:msA.79v	no
urn:cite:hmt:msA.80v	9	hairy	urn:cite:hmt:msA.79r	no
urn:cite:hmt:msA.81r	9	hairy	urn:cite:hmt:msA.78v	no
urn:cite:hmt:msA.81v	9	smooth	urn:cite:hmt:msA.78r	no
urn:cite:hmt:msA.82r	9	smooth	urn:cite:hmt:msA.77v	no
urn:cite:hmt:msA.82v	9	hairy	urn:cite:hmt:msA.77r	no
urn:cite:hmt:msA.83r	9	hairy	urn:cite:hmt:msA.76v	no
urn:cite:hmt:msA.83v	9	smooth	urn:cite:hmt:msA.76r	no
urn:cite:hmt:msA.84r	10	smooth	urn:cite:hmt:msA.91v	no
urn:cite:hmt:msA.84v	10	hairy	urn:cite:hmt:msA.91r	no
urn:cite:hmt:msA.85r	10	hairy	urn:cite:hmt:msA.90v	no
urn:cite:hmt:msA.85v	10	smooth	urn:cite:hmt:msA.90r	no
urn:cite:hmt:msA.86r	10	smooth	urn:cite:hmt:msA.89v	no
urn:cite:hmt:msA.86v	10	hairy	urn:cite:hmt:msA.89r	no
urn:cite:hmt:msA.87r	10	hairy	urn:cite:hmt:msA.88v	no
urn:cite:hmt:msA.87v	10	smooth	urn:cite:hmt:msA.88r	no
urn:cite:hmt:msA.88r	10	smooth	urn:cite:hmt:msA.87v	no
urn:cite:hmt:msA.88v	10	hairy	urn:cite:hmt:msA.87r	no
urn:cite:hmt:msA.89r	10	hairy	urn:cite:hmt:msA.86v	no
urn:cite:hmt:msA.89v	10	smooth	urn:cite:hmt:msA.86r	no
urn:cite:hmt:msA.90r	10	smooth	urn:cite:hmt:msA.85v	no
urn:cite:hmt:msA.90v	10	hairy	urn:cite:hmt:msA.85r	no
urn:cite:hmt:msA.91r	10	hairy	urn:cite:hmt:msA.84v	no
urn:cite:hmt:msA.91v	10	smooth	urn:cite:hmt:msA.84r	no
urn:cite:hmt:msA.92r	11	smooth	urn:cite:hmt:msA.99v	no
